Product / Offer Name,# Units,Product Cost,Shipping Cost,Total COGS,Gateway (3.3%),Total Cost For Us,Price Before Discounts,Price On Site,Shipping To Customer,Total Revenue,Margin $,Margin %,BE ROAS,Savings $,Savings %,Target CPA 2x ROAS,Target CPA 2.5x ROAS,Eff. $/Unit,Origins Strategy
--- PRODUCT REFERENCE ---,,,,,,,,,,,,,,,,,,,
"Whipped Tallow & Honey Balm (120g, Hero SKU)",1,$9.27,$7.74,$17.01,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"TeemDrop auto-fulfillment. 4 ingredients: grass-fed tallow, manuka honey, olive oil, calendula"
"Caffeine Eye Cream (15ml, Bundle Add-On)",1,$2.94,$5.40,$8.34,—,—,—,—,—,—,—,—,—,—,—,—,—,—,"Caffeine + Matrixyl 3000 + Albizia Julibrissin. Potential bundle pairing with tallow balm"
--- LAUNCH PRICING ($59.99 Anchor) ---,,,,,,,,,,,,,,,,,,,
"1x Tallow Balm — Launch Price (Hero SKU)",1,$9.27,$7.74,$17.01,$1.65,$18.66,$59.99,$49.99,$0.00,$49.99,$31.33,62.67%,1.60,$10.00,16.67%,$25.00,$20.00,$49.99,"Launch anchor. Under $50 impulse threshold. 62.7% margin. $10 off ""regular"" $59.99. Free shipping included"
"1x Tallow Balm — Full Price",1,$9.27,$7.74,$17.01,$1.98,$18.99,$59.99,$59.99,$0.00,$59.99,$41.00,68.34%,1.46,$0.00,0.00%,$30.00,$24.00,$59.99,"Full price anchor. Use on site as crossed-out reference price. 68.3% margin"
--- BUNDLE & SAVE (Origins #1 Recommended) ---,,,,,,,,,,,,,,,,,,,
"The Starter (1x Tallow Balm)",1,$9.27,$7.74,$17.01,$1.65,$18.66,$59.99,$49.99,$0.00,$49.99,$31.33,62.67%,1.60,$10.00,16.67%,$25.00,$20.00,$49.99,"Tier 1 — entry point. Free shipping. Lowest friction first purchase"
"The Ritual (2x Tallow Balm) MOST POPULAR",2,$18.54,$11.04,$29.58,$2.97,$32.55,$99.98,$89.99,$0.00,$89.99,$57.44,63.83%,1.57,$9.99,10.00%,$45.00,$36.00,$45.00,"Tier 2 — hero bundle. Save $10 vs buying 2 singles. Best AOV + margin balance. Jar lasts 2-3 months so this is 4-6 month supply"
"The Transformation (3x Tallow Balm) BEST VALUE",3,$27.81,$14.34,$42.15,$3.96,$46.11,$149.97,$119.99,$0.00,$119.99,$73.88,61.57%,1.62,$29.98,20.00%,$60.00,$48.00,$40.00,"Tier 3 — best value. Save $30. $40/jar. Lead with dollar amount saved per Origins"
--- TALLOW + EYE CREAM BUNDLES ---,,,,,,,,,,,,,,,,,,,
"The Glow Kit (1x Tallow + 1x Eye Cream)",2,$12.21,$9.48,$21.69,$2.31,$23.99,$79.98,$69.99,$0.00,$69.99,$46.00,65.72%,1.52,$10.00,12.50%,$35.00,$28.00,$35.00,"Cross-sell bundle. Face + eyes = complete routine. Higher AOV than single tallow. 65.7% margin. Eye cream is the upsell hook — 'your face AND your eyes'"
"The Full Ritual (2x Tallow + 1x Eye Cream)",3,$21.48,$13.18,$34.66,$3.30,$37.96,$129.97,$99.99,$0.00,$99.99,$62.03,62.03%,1.61,$29.98,23.07%,$50.00,$40.00,$33.33,"Premium bundle. Tallow for face + body, eye cream for under-eyes. Save $30. Strong AOV at $99.99"
--- $X OFF FIRST ORDER (Acquisition Layer — Stack on Bundles) ---,,,,,,,,,,,,,,,,,,,
"$5 Off First Order (1x Tallow)",1,$9.27,$7.74,$17.01,$1.48,$18.49,$49.99,$44.99,$0.00,$44.99,$26.50,58.90%,1.70,$15.00,25.01%,$22.50,$18.00,$44.99,"Light sweetener on launch price. 58.9% margin. Email popup / exit intent. $15 perceived savings off $59.99 anchor"
"$10 Off First Order (1x Tallow)",1,$9.27,$7.74,$17.01,$1.32,$18.33,$49.99,$39.99,$0.00,$39.99,$21.66,54.16%,1.85,$20.00,33.34%,$20.00,$16.00,$39.99,"Aggressive acquisition. Tests $39.99 price point. 54.2% margin — tighter but still workable. BE ROAS 1.85 is higher than NMN was"
"$5 Off Glow Kit (1x Tallow + 1x Eye Cream)",2,$12.21,$9.48,$21.69,$2.14,$23.83,$69.99,$64.99,$0.00,$64.99,$41.16,63.33%,1.54,$15.00,18.75%,$32.50,$26.00,$32.50,"Stack: $69.99 kit - $5 = $64.99. Pushes new customers to bundle AOV. 63.3% margin"
--- SUBSCRIBE & SAVE (Recurring Revenue Engine) ---,,,,,,,,,,,,,,,,,,,
"Sub: 1x Tallow Balm Every 60-90 Days (15% off)",1,$9.27,$7.74,$17.01,$1.40,$18.41,$49.99,$42.49,$0.00,$42.49,$24.08,56.67%,1.77,$7.50,15.01%,$21.25,$17.00,$42.49,"Consumable replenishment. 56.7% margin per shipment. 5-cycle LTV = $212.45, total margin = $120.40. Tallow jar lasts 2-3 months"
"Sub: Glow Kit Every 60-90 Days (15% off)",2,$12.21,$9.48,$21.69,$1.96,$23.65,$69.99,$59.49,$0.00,$59.49,$35.84,60.25%,1.66,$10.50,15.01%,$29.75,$23.80,$29.75,"Tallow + eye cream subscription. 60.3% margin. 5-cycle LTV = $297.45, total margin = $179.20"
--- BUY X GET X FREE (Reserve for Major Events ONLY) ---,,,,,,,,,,,,,,,,,,,
"Buy 1 Get 1 Free (2x Tallow)",2,$18.54,$11.04,$29.58,$1.65,$31.23,$99.98,$49.99,$0.00,$49.99,$18.76,37.53%,2.66,$49.99,50.00%,$25.00,$20.00,$25.00,"WARNING: 37.5% margin and 2.66 BE ROAS. ONLY for launch week to seed reviews then KILL. Per Origins: offers are addictive"
