Status,BATCH #,Author,Ad Concept,Desire,Angle,What are you creating / testing and what gives you confidence that this test will improve overall performance?,Ad Format,Link To Brief,Link To Ad,Results
,,,,,,,,,,
In Progress,BATCH 1,Nate,Native / Camouflage,"I want to feel like myself again — not old, not broken, just normal","Angle 1: Your decline has a specific addressable cause (NAD+ depletion)
Angle 2: Stop the trajectory before it gets worse
Angle 3: This isn't a magic pill — it's the science behind why you feel different","Testing the Reluctant Decliner sub-avatar (#8) — broadest audience (40+), strongest emotional weight. Camouflage format chosen because Origins data shows native posts outperform polished ads for cold traffic. 3 angles isolate whether the 'specific cause' reframe, the 'trajectory fear,' or the 'science not magic' framing resonates most.
Hook 1: ""What if 'just getting older' is actually just running low on one molecule?""
Hook 2: ""Every year a little worse. What if that's not inevitable?""
Hook 3: ""I didn't expect miracles. I just wanted to feel normal again.""",Static — Native/Camouflage,Baseline_Soft_Launch_Copy.md (Batch 1),,0
In Progress,BATCH 2,Nate,Camouflage (Notes App / iMessage / Confession),"I want consistent energy throughout the day — not spikes and crashes","Angle 1: Cellular fuel vs caffeine spike (the floor not the ceiling)
Angle 2: Stimulation vs restoration (one borrows energy the other restores it)
Angle 3: Raw emotional confession (""I used to have energy. Now I just have coffee."")","Testing the 3pm Wall Hitter sub-avatar (#1) — most universal daily experience. Camouflage formats (Notes screenshot, iMessage thread, unbranded confession) chosen because competitive analysis confirmed every energy supplement brand uses split-screen and stock imagery. Zero competitors use phone-screenshot formats. High engagement prediction on text thread creative.
Hook 1: ""5 things I wish I'd known about the 3pm crash""
Hook 2: ""Caffeine gives you a spike. Then it takes it back with interest.""
Hook 3: ""I used to have energy. Now I just have coffee.""",Static — Camouflage,Baseline_Soft_Launch_Copy.md (Batch 2),,0
In Progress,BATCH 3,Nate,Testimonial / Review,"I want supplements that actually work — and proof that they're real","Angle 1: Most NMN doesn't work because most NMN isn't real NMN
Angle 2: The reason NMN ""didn't work"" is you weren't taking real NMN
Angle 3: Stop trusting supplement labels — start verifying them","Testing the Burned Supplement Buyer sub-avatar (#2) — trust crisis audience. Testimonial/review format chosen because this avatar trusts peer proof over brand claims. Validates their skepticism first (""you've tried supplements before — they didn't work"") before reframing why previous NMN failed. Strongest creative differentiation across the batch set.
Hook 1: ""I've tried 4 NMN brands. This is the first one that did anything.""
Hook 2: ""Unpopular opinion: NMN works. I just wasn't taking real NMN before.""
Hook 3: Customer review collage — social proof density",Static — Testimonial/Review,Baseline_Soft_Launch_Copy.md (Batch 3),,0
In Progress,BATCH 4,Nate,Avatar Call Out,"I want to have enough energy to actually be present for my kids","Angle 1: Get the energy to actually be present for your kids
Angle 2: Stop giving your family your leftovers
Angle 3: Break the exhaustion-guilt cycle","Testing the Exhausted Parent sub-avatar (#6) — highest emotional intensity in the entire avatar set. Avatar Call Out format chosen because directly naming the audience (""TO PARENTS WHO..."") creates instant self-selection. Parental guilt + physical exhaustion is the deepest emotional trigger. B4 Body Copy 1 opening line (""She stopped asking"") is the single strongest hook across all 5 batches.
Hook 1: ""They won't remember your job title. They'll remember if you had energy to play.""
Hook 2: ""Work gets your best hours. Your kids get what's left.""
Hook 3: ""tired. guilty. repeat.""",Static — Avatar Call Out,Baseline_Soft_Launch_Copy.md (Batch 4),,0
In Progress,BATCH 5,Nate,Question Hook,"I want my body to function again — this isn't about looking younger","Angle 1: This isn't about looking younger — it's about your cells actually working again
Angle 2: What menopause takes isn't just hormones — it's cellular energy
Angle 3: Your body didn't betray you — it ran out of something specific","Testing the Invisible Woman sub-avatar (#7) — underserved market (women 40-55). Question Hook format chosen because this avatar is skeptical of supplement ads but responds to questions that name their exact experience. No NMN brand targets women with non-cosmetic messaging — this is a competitive gap. Myth vs reality body copy format breaks pattern from other batches.
Hook 1: ""What if 'anti-aging' has nothing to do with wrinkles?""
Hook 2: ""What if the fatigue isn't just hormonal?""
Hook 3: ""Your body didn't betray you.""",Static — Question Hook,Baseline_Soft_Launch_Copy.md (Batch 5),,0
,BATCH 6,,,,,,,,,,
,BATCH 7,,,,,,,,,,
,BATCH 8,,,,,,,,,,
,BATCH 9,,,,,,,,,,
,BATCH 10,,,,,,,,,,
,BATCH 11,,,,,,,,,,
,BATCH 12,,,,,,,,,,
,BATCH 13,,,,,,,,,,
,BATCH 14,,,,,,,,,,
,BATCH 15,,,,,,,,,,
